ChIN,Annotation1,Annotation2,ID
11,Zm00001d027450,Zm00001d022661,378
9,Zm00001d027450,Zm00001d022661,379
9,Zm00001d027450,Zm00001d027453,380
12,Zm00001d027450,Zm00001d022661,381
12,Zm00001d027451,Zm00001d022661,382
5,Zm00001d027451,Zm00001d027453,383
92,Zm00001d022661,Zm00001d027455,384
92,Zm00001d027454,Zm00001d027455,385
11,Zm00001d022661,Zm00001d027455,386
9,Zm00001d027454,Zm00001d027455,387
7,Zm00001d027454,Zm00001d027455,388
6,Zm00001d027454,Zm00001d027455,389
159,Zm00001d027455,Zm00001d027456,390
3,Zm00001d027455,Zm00001d027457,391
37,Zm00001d027455,Zm00001d027456,392
12,Zm00001d027455,Zm00001d027458,393
5,Zm00001d027455,Zm00001d027457,394
7,Zm00001d027455,Zm00001d027457,395
43,Zm00001d027456,Zm00001d027457,396
43,Zm00001d027456,Zm00001d027458,397
32,Zm00001d027456,Zm00001d027457,398
3,Zm00001d027456,Zm00001d027457,399
3,Zm00001d027456,Zm00001d027458,400
3,Zm00001d027456,Zm00001d003493,401
4,Zm00001d027456,Zm00001d027457,402
3,ENSRNA049437518,Zm00001d027466,403
3,Zm00001d027464,Zm00001d027466,404
3,Zm00001d027465,Zm00001d027466,405
3,Zm00001d027469,Zm00001d027470,406
3,Zm00001d027469,Zm00001d027471,407
4,Zm00001d027472,Zm00001d027477,408
4,Zm00001d027475,Zm00001d027477,409
3,Zm00001d027472,Zm00001d039338,410
3,Zm00001d027475,Zm00001d039338,411
5,Zm00001d027477,Zm00001d027478,412
35,Zm00001d027477,Zm00001d027478,413
35,Zm00001d027477,Zm00001d027479,414
4,Zm00001d027477,Zm00001d027479,415
3,Zm00001d027477,Zm00001d027481,416
39,Zm00001d027477,Zm00001d027478,417
39,Zm00001d027477,Zm00001d027479,418
3,Zm00001d027477,Zm00001d027478,419
4,Zm00001d027477,Zm00001d027481,420
3,Zm00001d027477,Zm00001d027484,421
226,Zm00001d027478,Zm00001d022662,422
226,Zm00001d027479,Zm00001d022662,423
226,Zm00001d027478,Zm00001d027480,424
226,Zm00001d027479,Zm00001d027480,425
226,Zm00001d027478,Zm00001d027481,426
226,Zm00001d027479,Zm00001d027481,427
153,Zm00001d027478,Zm00001d022662,428
153,Zm00001d027479,Zm00001d022662,429
153,Zm00001d027478,Zm00001d027480,430
153,Zm00001d027479,Zm00001d027480,431
153,Zm00001d027478,Zm00001d027481,432
153,Zm00001d027479,Zm00001d027481,433
3,Zm00001d027478,Zm00001d027483,434
3,Zm00001d027478,Zm00001d027484,435
5,Zm00001d027478,Zm00001d027483,436
3,Zm00001d027478,Zm00001d027483,437
3,Zm00001d027479,Zm00001d027483,438
3,Zm00001d027479,Zm00001d027483,439
20,Zm00001d027479,Zm00001d027483,440
4,Zm00001d022662,Zm00001d027481,441
4,Zm00001d027480,Zm00001d027481,442
85,Zm00001d022662,Zm00001d027483,443
85,Zm00001d027480,Zm00001d027483,444
85,Zm00001d027481,Zm00001d027483,445
46,Zm00001d027480,Zm00001d027483,446
46,Zm00001d027481,Zm00001d027483,447
5,Zm00001d027481,Zm00001d027484,448
3,Zm00001d027481,Zm00001d027483,449
3,Zm00001d027483,Zm00001d027486,450
11,Zm00001d027483,Zm00001d027486,451
3,Zm00001d027483,zma,452
3,Zm00001d027483,Zm00001d027488,453
4,Zm00001d027483,Zm00001d027485,454
3,Zm00001d027483,zma,455
23,Zm00001d027483,Zm00001d027485,456
4,Zm00001d027483,Zm00001d027487,457
19,Zm00001d027483,Zm00001d027485,458
20,Zm00001d027483,Zm00001d027485,459
21,Zm00001d027484,Zm00001d027485,460
7,Zm00001d027484,Zm00001d027486,461
4,Zm00001d027484,Zm00001d027486,462
4,Zm00001d027486,zma,463
59,Zm00001d027487,Zm00001d027488,464
59,Zm00001d027487,zma,465
3,Zm00001d027487,Zm00001d027488,466
7,Zm00001d027487,Zm00001d027488,467
3,Zm00001d027487,zma,468
11,zma,Zm00001d027489,469
5,zma,Zm00001d027489,470
3,Zm00001d027499,Zm00001d027502,471
89,Zm00001d027501,Zm00001d027503,472
89,Zm00001d027502,Zm00001d027503,473
3,Zm00001d027504,Zm00001d027506,474
3,Zm00001d027504,Zm00001d022663,475
8,Zm00001d027504,Zm00001d027506,476
7,Zm00001d027506,ENSRNA049464994,477
3,Zm00001d022663,Zm00001d027511,478
4,ENSRNA049465015,ENSRNA049464994,479
4,Zm00001d022663,ENSRNA049464994,480
3,ENSRNA049464994,Zm00001d027508,481
3,Zm00001d027508,Zm00001d027509,482
3,Zm00001d027508,Zm00001d048336,483
71,Zm00001d027509,Zm00001d027511,484
71,Zm00001d027510,Zm00001d027511,485
5,Zm00001d027510,Zm00001d027511,486
4,Zm00001d027511,Zm00001d027517,487
7,Zm00001d027511,Zm00001d027514,488
4,Zm00001d027514,Zm00001d027517,489
9,Zm00001d027514,Zm00001d027515,490
157,Zm00001d027516,Zm00001d027518,491
157,Zm00001d027517,Zm00001d027518,492
70,Zm00001d027517,Zm00001d027519,493
21,Zm00001d027517,Zm00001d027518,494
3,Zm00001d027517,Zm00001d027524,495
47,Zm00001d027518,Zm00001d027519,496
4,Zm00001d027518,Zm00001d027522,497
3,Zm00001d027518,Zm00001d027523,498
4,Zm00001d027518,Zm00001d027519,499
3,Zm00001d027518,Zm00001d027520,500
57,Zm00001d027519,Zm00001d027520,501
5,Zm00001d027519,Zm00001d027520,502
4,Zm00001d027519,Zm00001d027523,503
3,Zm00001d027520,Zm00001d027523,504
18,Zm00001d027520,Zm00001d027523,505
3,Zm00001d027520,Zm00001d027522,506
3,Zm00001d027520,Zm00001d027523,507
3,Zm00001d027523,Zm00001d027533,508
7,Zm00001d027528,Zm00001d027533,509
7,Zm00001d027530,Zm00001d027533,510
13,Zm00001d027532,Zm00001d027533,511
3,Zm00001d027533,Zm00001d027535,512
5,Zm00001d027536,Zm00001d027537,513
3,Zm00001d027536,Zm00001d027537,514
4,ENSRNA049464922,Zm00001d027549,515
4,Zm00001d022664,Zm00001d027549,516
4,zma,Zm00001d027549,517
4,ENSRNA049464922,Zm00001d027550,518
4,Zm00001d022664,Zm00001d027550,519
4,zma,Zm00001d027550,520
5,Zm00001d027548,Zm00001d027549,521
5,Zm00001d027548,Zm00001d027550,522
5,Zm00001d027548,Zm00001d027549,523
5,Zm00001d027548,Zm00001d027550,524
3,Zm00001d027548,Zm00001d027549,525
3,Zm00001d027548,Zm00001d027550,526
17,Zm00001d027549,Zm00001d027555,527
17,Zm00001d027550,Zm00001d027555,528
3,Zm00001d027549,Zm00001d027556,529
3,Zm00001d027550,Zm00001d027556,530
3,Zm00001d027549,Zm00001d027554,531
3,Zm00001d027550,Zm00001d027554,532
3,Zm00001d027549,Zm00001d027555,533
3,Zm00001d027550,Zm00001d027555,534
5,Zm00001d027549,Zm00001d027554,535
5,Zm00001d027550,Zm00001d027554,536
3,Zm00001d027549,Zm00001d027554,537
3,Zm00001d027550,Zm00001d027554,538
3,Zm00001d027549,Zm00001d027555,539
3,Zm00001d027550,Zm00001d027555,540
16,Zm00001d027554,Zm00001d027556,541
16,Zm00001d027555,Zm00001d027556,542
4,Zm00001d027554,Zm00001d027557,543
4,Zm00001d027555,Zm00001d027557,544
4,Zm00001d027554,Zm00001d027557,545
4,Zm00001d027555,Zm00001d027557,546
3,Zm00001d027555,Zm00001d027558,547
6,Zm00001d027555,Zm00001d027557,548
5,Zm00001d027555,Zm00001d027558,549
6,Zm00001d027555,Zm00001d027557,550
5,Zm00001d027555,Zm00001d027558,551
5,Zm00001d027556,Zm00001d027558,552
3,Zm00001d027556,Zm00001d027557,553
3,Zm00001d027556,Zm00001d027557,554
5,Zm00001d027556,Zm00001d027558,555
4,Zm00001d027556,Zm00001d027558,556
8,Zm00001d027558,Zm00001d027570,557
3,Zm00001d027558,Zm00001d027570,558
14,Zm00001d027569,Zm00001d027570,559
34,Zm00001d027570,Zm00001d027571,560
4,Zm00001d027570,Zm00001d027571,561
3,Zm00001d027570,Zm00001d027572,562
3,Zm00001d027570,Zm00001d027571,563
5,Zm00001d027570,Zm00001d027573,564
7,Zm00001d027570,Zm00001d027573,565
145,Zm00001d027571,Zm00001d027572,566
8,Zm00001d027571,Zm00001d027573,567
22,Zm00001d027571,Zm00001d027572,568
3,Zm00001d027571,Zm00001d027572,569
3,Zm00001d027571,Zm00001d027573,570
15,Zm00001d027572,Zm00001d027573,571
7,Zm00001d027572,Zm00001d027573,572
5,Zm00001d027573,Zm00001d027576,573
3,Zm00001d027573,Zm00001d027846,574
3,Zm00001d027581,Zm00001d027585,575
24,Zm00001d027581,Zm00001d027585,576
24,Zm00001d027582,Zm00001d027585,577
