Annotation1,Annotation2,ID
Zm00001d028124,Zm00001d028159,318
Zm00001d022694,Zm00001d028230,319
Zm00001d028130,Zm00001d028183,320
Zm00001d028130,Zm00001d022695,321
Zm00001d028137,Zm00001d028144,322
Zm00001d028153,Zm00001d022697,323
Zm00001d022697,Zm00001d028165,324
Zm00001d022697,Zm00001d028167,325
Zm00001d028161,Zm00001d028162,326
Zm00001d028162,Zm00001d028167,327
Zm00001d028162,Zm00001d028164,328
Zm00001d028165,Zm00001d028167,329
Zm00001d028167,Zm00001d028170,330
Zm00001d028170,Zm00001d028201,331
Zm00001d028173,Zm00001d028177,332
Zm00001d028177,Zm00001d028193,333
Zm00001d028178,Zm00001d028180,334
Zm00001d028178,Zm00001d028183,335
Zm00001d028180,Zm00001d028182,336
Zm00001d028185,Zm00001d028218,337
Zm00001d028185,Zm00001d028229,338
Zm00001d028187,Zm00001d028228,339
Zm00001d028191,Zm00001d028193,340
Zm00001d028195,Zm00001d028218,341
Zm00001d028195,Zm00001d028227,342
Zm00001d028195,Zm00001d028204,343
Zm00001d028197,Zm00001d028199,344
Zm00001d028200,Zm00001d028201,345
Zm00001d028204,Zm00001d028214,346
Zm00001d028205,Zm00001d028207,347
Zm00001d028205,Zm00001d028208,348
Zm00001d028205,Zm00001d028210,349
Zm00001d028207,Zm00001d028208,350
Zm00001d028207,Zm00001d028210,351
Zm00001d028207,Zm00001d028214,352
Zm00001d028208,Zm00001d028210,353
Zm00001d028210,Zm00001d028214,354
Zm00001d028210,Zm00001d028217,355
Zm00001d028211,Zm00001d028227,356
Zm00001d028215,Zm00001d028216,357
Zm00001d028215,Zm00001d028217,358
Zm00001d028216,Zm00001d028217,359
Zm00001d028218,Zm00001d028243,360
Zm00001d028219,Zm00001d028221,361
Zm00001d028219,Zm00001d028225,362
Zm00001d028221,Zm00001d028239,363
Zm00001d028221,Zm00001d028225,364
Zm00001d028229,Zm00001d028243,365
Zm00001d028230,Zm00001d028272,366
Zm00001d028233,Zm00001d028244,367
Zm00001d028233,Zm00001d028235,368
Zm00001d028233,Zm00001d028237,369
Zm00001d028235,Zm00001d028237,370
Zm00001d028239,Zm00001d028256,371
Zm00001d028238,Zm00001d028240,372
Zm00001d028238,Zm00001d028244,373
Zm00001d028240,Zm00001d028243,374
Zm00001d028244,Zm00001d028256,375
Zm00001d028244,Zm00001d028261,376
Zm00001d028249,Zm00001d028261,377
Zm00001d028249,Zm00001d028254,378
Zm00001d028257,Zm00001d028262,379
Zm00001d028258,Zm00001d028260,380
Zm00001d028258,Zm00001d028261,381
Zm00001d028260,Zm00001d028261,382
Zm00001d028261,Zm00001d028262,383
Zm00001d028262,Zm00001d028264,384
Zm00001d028262,Zm00001d028263,385
Zm00001d028262,Zm00001d028266,386
Zm00001d028263,Zm00001d028264,387
Zm00001d028264,Zm00001d028265,388
Zm00001d028270,Zm00001d028272,389
Zm00001d028272,Zm00001d028285,390
Zm00001d028273,Zm00001d028294,391
Zm00001d028275,Zm00001d028278,392
Zm00001d028275,Zm00001d028279,393
Zm00001d028278,Zm00001d028279,394
Zm00001d028285,Zm00001d028286,395
Zm00001d028287,Zm00001d028297,396
Zm00001d028294,Zm00001d028298,397
Zm00001d028294,Zm00001d028317,398
Zm00001d028297,Zm00001d028298,399
Zm00001d028297,Zm00001d028299,400
Zm00001d028298,Zm00001d028299,401
Zm00001d028298,Zm00001d028303,402
Zm00001d028298,Zm00001d028307,403
Zm00001d028299,Zm00001d028303,404
Zm00001d028299,Zm00001d028307,405
Zm00001d028303,Zm00001d028307,406
Zm00001d028312,Zm00001d028314,407
Zm00001d028312,Zm00001d028318,408
Zm00001d028314,Zm00001d022706,409
Zm00001d028319,Zm00001d028320,410
Zm00001d028319,Zm00001d028325,411
Zm00001d028319,Zm00001d028328,412
Zm00001d028320,Zm00001d028325,413
Zm00001d028320,Zm00001d028328,414
Zm00001d028325,Zm00001d028360,415
Zm00001d028325,Zm00001d028328,416
Zm00001d028332,Zm00001d028344,417
Zm00001d028332,Zm00001d028339,418
Zm00001d028333,Zm00001d028336,419
Zm00001d028339,Zm00001d028344,420
Zm00001d028347,Zm00001d028348,421
Zm00001d028347,Zm00001d028354,422
Zm00001d028349,Zm00001d028354,423
Zm00001d028355,Zm00001d028360,424
Zm00001d028356,Zm00001d028358,425
Zm00001d028358,Zm00001d028360,426
Zm00001d028361,Zm00001d028372,427
Zm00001d028361,Zm00001d028384,428
Zm00001d028366,Zm00001d028369,429
Zm00001d028367,Zm00001d028368,430
Zm00001d028369,Zm00001d028400,431
Zm00001d028370,Zm00001d028371,432
Zm00001d028372,Zm00001d028384,433
Zm00001d028372,Zm00001d028481,434
Zm00001d028372,Zm00001d028373,435
Zm00001d028373,Zm00001d028377,436
Zm00001d028373,Zm00001d028384,437
Zm00001d028374,Zm00001d028377,438
Zm00001d028384,Zm00001d028396,439
