Gene,Expression
MH01g0056000,4.94806
MH01g0056100,127.398
MH01g0056200,1.14263
MH01g0056300,0
MH01g0056400,1.2935
MH01g0056500,18.8533
MH01g0056600,45.236
MH01g0056700,0
MH01g0056800,0
MH01g0056900,7.31876
MH01g0057000,8.35397
MH01g0057100,6.51547
MH01g0057200,40.5251
MH01g0057300,11.4995
MH01g0057400,11.3629
MH01g0057500,9.59973
MH01g0057600,38.7545
MH01g0057700,0.0144464
MH01g0057800,0
MH01g0057900,10.2597
MH01g0058000,0
MH01g0058100,16.8822
MH01g0058200,0
MH01g0058300,0
MH01g0058400,0
MH01g0058500,0
MH01g0058600,50.9808
MH01g0058700,120.003
MH01g0058800,14.2679
MH01g0058900,1.13172
MH01g0059000,8.81682
MH01g0059100,0.0767152
MH01g0059200,11.4445
MH01g0059300,0.882708
MH01g0059400,1.31195
MH01g0059500,0.67366
MH01g0059600,6.68475
MH01g0059700,0
MH01g0059800,0
MH01g0059900,0
MH01g0060000,0.162041
MH01g0060100,0.152262
MH01g0060200,0
MH01g0060300,0
MH01g0060400,0
MH01g0060500,0.172862
MH01g0060600,0
MH01g0060700,0
MH01g0060800,39.5766
MH01g0060900,0
MH01g0061000,0
MH01g0061100,1.98908
MH01g0061200,0
MH01g0061300,0.291209
MH01g0061400,0.133237
MH01g0061500,0.483953
MH01g0061600,0.512128
MH01g0061700,15.4169
MH01g0061800,5.59956
MH01g0061900,0
MH01g0062000,111.733
MH01g0062100,47.1923
MH01g0062200,14.3357
MH01g0062300,0
MH01g0062400,5.93487
MH01g0062500,0
MH01g0062600,11.1495
MH01g0062700,1.52479
MH01g0062800,0
MH01g0062900,0
MH01g0063000,14.5602
MH01g0063100,0
MH01g0063200,0.151302
MH01g0063300,0
MH01g0063400,0
MH01g0063500,0
MH01g0063600,3.87903
MH01g0063700,0.584674
MH01g0063800,63.7409
MH01g0063900,0.312563
MH01g0064000,55.6583
MH01g0064100,7.93637
MH01g0064200,101.341
MH01g0064300,0
MH01g0064400,24.605
MH01g0064500,0
MH01g0064600,0.920603
MH01g0064700,0.385209
MH01g0064800,0
MH01g0064900,3.19859
MH01g0065000,0.634505
MH01g0065100,21.7435
MH01g0065200,147.776
MH01g0065300,28.8402
MH01g0065400,16.6515
MH01g0065500,1.38666
MH01g0065600,2.90334
MH01g0065700,3.37823
MH01g0065800,0
MH01g0065900,2.18848
MH01g0066000,0
MH01g0066100,0.0404581
MH01g0066200,39.4595
MH01g0066300,0
MH01g0066400,1.19862
MH01g0066500,92.0754
MH01g0066600,0
MH01g0066700,0
MH01g0066800,1.33252
MH01g0066900,54.6983
MH01g0067000,5.08422
MH01g0067100,0
MH01g0067200,0.874003
MH01g0067300,171.054
MH01g0067400,0
MH01g0067500,0.0224196
MH01g0067600,0
MH01g0067700,6.04262
MH01g0067800,1.95406
MH01g0067900,114.738
MH01g0068000,20.8822
MH01g0068100,0
MH01g0068200,0
MH01g0068300,0
MH01g0068400,1.1011
MH01g0068500,1.20097
MH01g0068600,0.357023
MH01g0068700,0
MH01g0068800,0
MH01g0068900,0.081521
MH01g0069000,0.622228
MH01g0069100,0.0129637
MH01g0069200,0
MH01g0069300,0
MH01g0069400,0
MH01g0069500,0
MH01g0069600,1.36186
MH01g0069700,0.206569
MH01g0069800,0.029934
MH01g0069900,0
MH01g0070000,29.9991
MH01g0070100,7.30137
MH01g0070200,26.9452
MH01g0070300,1.35914
MH01g0070400,0
MH01g0070500,0.176145
MH01g0070600,0.198437
MH01g0070700,0
MH01g0070800,0.0289267
