Gene,Expression
ZS01g0112300,20.0741
ZS01g0112400,0
ZS01g0112500,0
ZS01g0112600,3.35954
ZS01g0112700,0.52248
ZS01g0112800,15.023
ZS01g0112900,52.8851
ZS01g0113000,2.71056
ZS01g0113100,2.62711
ZS01g0113200,0.0397837
ZS01g0113300,0.0685599
ZS01g0113400,0
ZS01g0113500,0
ZS01g0113600,0
ZS01g0113700,0
ZS01g0113800,0
ZS01g0113900,0
ZS01g0114000,0
ZS01g0114100,0.211039
ZS01g0114200,0.42403
ZS01g0114300,4.37165
ZS01g0114400,11.7904
ZS01g0114500,12.5053
ZS01g0114600,1.38119
ZS01g0114700,0
ZS01g0114800,10.6336
ZS01g0114900,0.0751689
ZS01g0115000,0
ZS01g0115100,0.602829
ZS01g0115200,0.130929
ZS01g0115300,0
ZS01g0115400,4.16735
ZS01g0115500,1.74892
ZS01g0115600,13.1901
ZS01g0115700,0
ZS01g0115800,20.1283
ZS01g0115900,11.1701
ZS01g0116000,7.62744
ZS01g0116100,0
ZS01g0116200,32.9087
ZS01g0116300,32.2428
ZS01g0116400,2.60189
ZS01g0116500,0
ZS01g0116600,4.72169
ZS01g0116700,0
ZS01g0116800,0
ZS01g0116900,13.1706
ZS01g0117000,11.3351
ZS01g0117100,0
ZS01g0117200,0.073058
ZS01g0117300,0
ZS01g0117400,0
ZS01g0117500,0
ZS01g0117600,0
ZS01g0117700,0
ZS01g0117800,0
ZS01g0117900,0
ZS01g0118000,0
ZS01g0118100,12.0239
ZS01g0118200,0.306933
ZS01g0118300,0.106788
ZS01g0118400,0
ZS01g0118500,0.0247621
ZS01g0118600,5.72484
ZS01g0118700,9.52591
ZS01g0118800,42.8554
ZS01g0118900,0.64286
ZS01g0119000,0.104232
ZS01g0119100,3.69282
ZS01g0119200,2.45463
ZS01g0119300,2.72872
ZS01g0119400,29.1965
ZS01g0119500,10.4402
ZS01g0119600,9.5658
ZS01g0119700,2.91014
ZS01g0119800,1.98509
ZS01g0119900,0.784018
ZS01g0120000,1.32799
ZS01g0120100,0
ZS01g0120200,0
ZS01g0120300,0
ZS01g0120400,0
ZS01g0120500,21.9032
ZS01g0120600,4.12307
ZS01g0120700,18.6469
ZS01g0120800,0
ZS01g0120900,0.619295
ZS01g0121000,0
ZS01g0121100,0
ZS01g0121200,9.99629
ZS01g0121300,0
ZS01g0121400,2.80663
ZS01g0121500,0
ZS01g0121600,13.2409
ZS01g0121700,56.1763
ZS01g0121800,0.990264
ZS01g0121900,7.33397
ZS01g0122000,15.3626
ZS01g0122100,5.33761
ZS01g0122200,0.0503095
ZS01g0122300,0
ZS01g0122400,0.381597
ZS01g0122500,0
ZS01g0122600,3.5304
ZS01g0122700,89.2912
ZS01g0122800,6.05518
ZS01g0122900,0
ZS01g0123000,0
ZS01g0123100,0
ZS01g0123200,13.0558
ZS01g0123300,0.188681
ZS01g0123400,3.43047
ZS01g0123500,18.8858
ZS01g0123600,0.842578
ZS01g0123700,0
ZS01g0123800,0.696021
ZS01g0123900,2.0348
ZS01g0124000,0.215788
ZS01g0124100,1.19152
ZS01g0124200,3.03739
ZS01g0124300,4.77855
ZS01g0124400,15.9768
ZS01g0124500,0
ZS01g0124600,0.612897
ZS01g0124700,0
ZS01g0124800,0
ZS01g0124900,0
ZS01g0125000,0
ZS01g0125100,12.9148
ZS01g0125200,26.0343
ZS01g0125300,0
ZS01g0125400,6.76037
ZS01g0125500,10.1882
ZS01g0125600,5.96024
ZS01g0125700,0
ZS01g0125800,0.777002
ZS01g0125900,0
ZS01g0126000,0
ZS01g0126100,0
ZS01g0126200,6.81935
ZS01g0126300,35.0815
ZS01g0126400,0.148639
ZS01g0126500,5.10338
ZS01g0126600,0.237891
ZS01g0126700,0
ZS01g0126800,0
