tracking_id,ID,ear_2,ear_1,ear_0,average-ear,ear-category,tassel_2,tassel_1,tassel_0,average-tassel,tassel-category
Zm00001d004768,4215,87.0857,89.5231,95.7377,90.78216667,highly-expressed,119.459,129.713,130.77,126.6473333,highly-expressed
Zm00001d004769,4216,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004770,4217,0,0.549943,0,0.183314333,expressed,0,0,0,0,unexpressed
Zm00001d004771,4218,6.02141,4.74293,4.48521,5.083183333,expressed,4.86204,4.68581,5.0348,4.860883333,expressed
Zm00001d004772,4219,4.40009,3.70205,3.64566,3.915933333,expressed,2.8905,3.65838,3.55463,3.367836667,expressed
Zm00001d004773,4220,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004775,4221,9.53016,8.80002,10.5459,9.62536,expressed,8.32034,6.73502,8.05327,7.702876667,expressed
Zm00001d004776,4222,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004777,4223,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004778,4224,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004779,4225,6.49598,6.89873,9.3986,7.59777,expressed,5.99824,6.77769,6.97863,6.584853333,expressed
Zm00001d004782,4226,14.4895,14.7113,14.9396,14.71346667,expressed,14.5177,13.5521,13.0163,13.69536667,expressed
Zm00001d004784,4227,35.411,34.4107,36.1667,35.32946667,highly-expressed,34.702,32.13,33.4557,33.42923333,highly-expressed
Zm00001d004785,4228,16.7815,15.6288,16.9064,16.4389,highly-expressed,14.4715,15.5067,15.3524,15.1102,highly-expressed
Zm00001d004786,4229,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004787,4230,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004788,4231,0.168923,0.0339119,0.171219,0.124684633,expressed,0.0673129,0.181065,0.0983524,0.115576767,expressed
Zm00001d004790,4232,42.079,38.7692,39.8322,40.2268,highly-expressed,36.4391,39.8483,36.8394,37.70893333,highly-expressed
Zm00001d004791,4233,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004793,4234,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004794,4235,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004796,4236,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004797,4237,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004798,4238,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004800,4239,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004804,4240,7.71144,7.14468,7.96692,7.60768,expressed,11.4776,11.6569,12.3027,11.8124,expressed
Zm00001d004805,4241,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004806,4242,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004807,4243,30.3264,30.51,29.1381,29.9915,highly-expressed,28.924,26.6036,30.0658,28.53113333,highly-expressed
Zm00001d004808,4244,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004810,4245,26.4938,25.3351,26.3966,26.07516667,highly-expressed,27.0515,26.4973,27.6969,27.0819,highly-expressed
Zm00001d004811,4246,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004812,4247,50.6239,50.3956,53.0967,51.37206667,highly-expressed,44.3378,43.0012,44.68,44.00633333,highly-expressed
Zm00001d004814,4248,6.22319,6.14102,6.38829,6.250833333,expressed,5.83952,5.89792,5.09858,5.612006667,expressed
Zm00001d004815,4249,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004817,4250,0.827975,0.776591,0.652338,0.752301333,expressed,2.53668,0.747713,0.527016,1.270469667,expressed
Zm00001d004818,4251,2.81958,2.76256,2.5806,2.720913333,expressed,1.58117,1.31817,1.44285,1.447396667,expressed
Zm00001d004819,4252,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004820,4253,0,0.277395,0,0.092465,unexpressed,0,0,0,0,unexpressed
Zm00001d004821,4254,129.379,139.902,116.388,128.5563333,highly-expressed,115.747,131.978,128.291,125.3386667,highly-expressed
Zm00001d004822,4255,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004823,4256,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004824,4257,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004825,4258,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004826,4259,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004828,4260,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004829,4261,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004831,4262,0,0,0,0,unexpressed,0,0,0.271145,0.090381667,unexpressed
Zm00001d004835,4263,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004836,4264,0,0,0,0,unexpressed,0,0.182648,0,0.060882667,unexpressed
Zm00001d004837,4265,137.131,134.971,132.916,135.006,highly-expressed,104.035,105.704,107.891,105.8766667,highly-expressed
Zm00001d004839,4266,137.313,131.271,140.197,136.2603333,highly-expressed,153.091,151.14,149.04,151.0903333,highly-expressed
Zm00001d004840,4267,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004841,4268,226.217,227.212,233.7,229.043,highly-expressed,251.007,247.514,242.233,246.918,highly-expressed
Zm00001d004843,4269,0,0,0,0,unexpressed,0.335737,0,0.261671,0.199136,expressed
Zm00001d004845,4270,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004846,4271,0,0,0,0,unexpressed,0,0,0.123764,0.041254667,unexpressed
Zm00001d004847,4272,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004848,4273,19.4288,18.0464,17.4565,18.31056667,highly-expressed,96.4065,93.9263,98.2506,96.19446667,highly-expressed
Zm00001d004850,4274,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004851,4275,26.3428,23.4739,23.4681,24.42826667,highly-expressed,26.0685,25.5137,27.0278,26.20333333,highly-expressed
Zm00001d004852,4276,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004854,4277,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004855,4278,17.1905,21.0737,21.1601,19.8081,highly-expressed,16.8711,16.917,18.3138,17.3673,highly-expressed
Zm00001d004856,4279,6.90205,6.11171,6.74037,6.58471,expressed,7.34833,6.39165,6.027,6.588993333,expressed
Zm00001d004857,4280,16.0866,14.2666,15.6151,15.32276667,highly-expressed,18.3135,19.4072,22.0615,19.9274,highly-expressed
Zm00001d004859,4281,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004860,4282,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004861,4283,18.4523,14.6399,16.695,16.59573333,highly-expressed,14.1657,22.3781,14.3124,16.95206667,highly-expressed
Zm00001d004862,4284,0,0,0,0,unexpressed,0,0,0,0,unexpressed
Zm00001d004863,4285,0,0,0,0,unexpressed,0,0,0,0,unexpressed
