Annotation1,exp
TraesCS4D02G296900,0.19
TraesCS4B02G326400,7.77
TraesCS5D02G359300,0.0
TraesCS7B02G166200,0.02
TraesCS2B02G027600,0.0
TraesCS4D02G093900,2.02
TraesCS7D02G091200,0.06
TraesCS5D02G490800,0.0
TraesCS3B02G153200,10.39
TraesCS7B02G461400,0.0
TraesCS2D02G121300,0.8
TraesCS4A02G028100,0.0
TraesCS3A02G304100,8.08
TraesCS3A02G004700,0.0
TraesCS7D02G243200,0.0
TraesCS6B02G177300,0.04
TraesCS2D02G171700,0.24
TraesCS6B02G042100,0.05
TraesCS3B02G059900,0.0
TraesCS3B02G024900,5.09
TraesCS7D02G040500,0.15
TraesCS6D02G015800,0.1
TraesCS7D02G191200,8.9
TraesCS6D02G098700,0.0
TraesCS6B02G027500,0.07
TraesCS1D02G188600,0.02
TraesCS3B02G224100,0.62
TraesCS2B02G526600,0.0
TraesCS3D02G139100,0.0
TraesCS5D02G442200,6.91
TraesCS2D02G441500,0.0
TraesCS7A02G498000,0.03
TraesCS4A02G188100,0.0
TraesCS6B02G076600,0.9
TraesCS5D02G145000,1.07
TraesCS3B02G503500,0.09
TraesCS3A02G463800,0.82
TraesCS3D02G317657,0.0
TraesCS4A02G411800,0.0
TraesCS7B02G398600,0.0
TraesCS3A02G355200,9.65
TraesCS1B02G140500,0.0
TraesCS5A02G042300,0.0
TraesCS2A02G300000,2.15
TraesCS1D02G151100,0.97
TraesCS3A02G132100,1.67
TraesCS4B02G241900,0.6
TraesCS7D02G424900,0.57
TraesCS5B02G108100,0.23
TraesCS2A02G266500,0.01
TraesCS3B02G121700,0.18
TraesCS3A02G150200,3.69
TraesCS6D02G185000,1.68
TraesCS7B02G098900,0.0
TraesCS4D02G189700,0.0
TraesCS4A02G284100,7.61
TraesCS7B02G129200,0.0
TraesCS5D02G063500,0.0
TraesCS7B02G492600,0.0
TraesCS4D02G283500,0.0
TraesCS4B02G251100,0.75
TraesCS6A02G158900,2.45
TraesCS7D02G295100,8.94
TraesCS4D02G136600,3.17
TraesCS5D02G224100,6.2
TraesCS6A02G096300,4.53
TraesCS5B02G242500,0.0
TraesCS7A02G263000,1.22
TraesCS2B02G474400,0.0
TraesCS6B02G199100,0.0
TraesCS2A02G038300,0.87
TraesCS4B02G175600,0.0
TraesCS2A02G422400,0.02
TraesCS7D02G456100,0.23
TraesCS3B02G426400,0.4
TraesCS4B02G170700,21.83
TraesCS6A02G375100,0.16
TraesCS4D02G283000,0.0
TraesCS3D02G265400,0.0
TraesCS3B02G431300,0.55
TraesCS4B02G318600,0.02
TraesCS3A02G444900,0.76
TraesCS5A02G036400,4.07
TraesCS4A02G172400,1.49
TraesCS5D02G417200,3.45
TraesCS2D02G557900,6.75
TraesCS5D02G297000,0.0
TraesCS5D02G491700,0.18
TraesCS7A02G518700,0.03
TraesCS2B02G102800,0.0
TraesCS4A02G446700,0.08
TraesCS3A02G229500,0.0
TraesCS6D02G298600,0.0
TraesCS7B02G209700,2.35
TraesCS1A02G069800,0.0
TraesCS4D02G025700,29.82
TraesCS6D02G047700,0.44
TraesCS5B02G409200,0.0
TraesCS4A02G406400,0.94
TraesCS2A02G097300,0.38
TraesCS2D02G554700,3.16
TraesCS5B02G135000,9.61
TraesCS6D02G301100,1.31
TraesCS4D02G119600,1.84
TraesCS3B02G396300,19.96
TraesCS4A02G403800,0.07
TraesCS7A02G108000,0.0
TraesCS5D02G059000,0.18
TraesCS6D02G219300,0.11
TraesCS1B02G185000,1.71
TraesCS6A02G097100,15.23
TraesCS6B02G038300,0.0
TraesCS6B02G007300,1.13
TraesCS5B02G169300,2.61
TraesCS4D02G091500,1.59
TraesCS1A02G292800,0.0
TraesCS3A02G249100,0.01
TraesCS1A02G188800,2.63
TraesCS7D02G347700,0.09
TraesCS5A02G123400,0.0
TraesCS2B02G492000,0.05
TraesCS2D02G579300,0.03
TraesCS5A02G046700,438.7
TraesCS2B02G017300,0.0
TraesCS1D02G301700,0.04
TraesCS2D02G548400,0.04
TraesCS6A02G316300,9.11
TraesCS6D02G394000,4.3
TraesCS2A02G319900,0.0
TraesCS3B02G239400,4.08
TraesCS6B02G335900,0.64
TraesCS1B02G454000,0.13
TraesCS7D02G053700,0.0
