ID,Annotation1,Annotation2
271,Zm00001d027764,Zm00001d022677
272,Zm00001d027764,Zm00001d027767
273,Zm00001d027769,Zm00001d027807
274,Zm00001d027769,Zm00001d022677
275,Zm00001d027769,Zm00001d027790
276,Zm00001d027790,Zm00001d027841
277,Zm00001d027795,Zm00001d027799
278,Zm00001d027797,Zm00001d027798
279,Zm00001d027799,Zm00001d027801
280,Zm00001d027801,Zm00001d027815
281,Zm00001d027801,Zm00001d027902
282,Zm00001d027801,Zm00001d022677
283,Zm00001d027801,Zm00001d027802
284,Zm00001d027803,Zm00001d027805
285,Zm00001d027807,Zm00001d022677
286,ENSRNA049472005,Zm00001d027811
287,Zm00001d027810,Zm00001d027811
288,Zm00001d027813,Zm00001d022677
289,Zm00001d027815,Zm00001d027876
290,Zm00001d027815,Zm00001d027935
291,Zm00001d027815,Zm00001d027816
292,Zm00001d027815,Zm00001d027896
293,Zm00001d027816,Zm00001d022677
294,Zm00001d027816,Zm00001d027824
295,Zm00001d027827,Zm00001d027833
296,Zm00001d027838,Zm00001d027840
297,Zm00001d027838,Zm00001d027934
298,Zm00001d027840,Zm00001d027841
299,Zm00001d027842,Zm00001d027845
300,Zm00001d027845,Zm00001d027848
301,Zm00001d027847,Zm00001d027873
302,Zm00001d027847,Zm00001d027849
303,Zm00001d022678,Zm00001d027854
304,Zm00001d027856,Zm00001d027877
305,Zm00001d027861,Zm00001d027862
306,Zm00001d027868,Zm00001d027869
307,Zm00001d027868,Zm00001d027872
308,Zm00001d027868,Zm00001d027876
309,Zm00001d027868,Zm00001d027885
310,Zm00001d027873,Zm00001d027885
311,Zm00001d027873,Zm00001d027971
312,Zm00001d027874,Zm00001d027876
313,Zm00001d027874,Zm00001d027902
314,Zm00001d027874,Zm00001d027875
315,Zm00001d027875,Zm00001d022680
316,Zm00001d027875,Zm00001d027876
317,Zm00001d027876,Zm00001d022680
318,Zm00001d027876,Zm00001d027880
319,Zm00001d027876,Zm00001d027879
320,Zm00001d027876,Zm00001d027903
321,Zm00001d027876,Zm00001d027877
322,Zm00001d027877,Zm00001d027902
323,Zm00001d022680,Zm00001d027879
324,Zm00001d022680,Zm00001d027880
325,Zm00001d022680,Zm00001d027884
326,Zm00001d027878,Zm00001d027902
327,Zm00001d027880,Zm00001d027882
328,Zm00001d027880,Zm00001d027884
329,Zm00001d027881,Zm00001d027884
330,Zm00001d027882,Zm00001d027884
331,Zm00001d027885,Zm00001d027934
332,Zm00001d027886,Zm00001d027936
333,Zm00001d027886,Zm00001d028073
334,Zm00001d027888,Zm00001d027890
335,Zm00001d027888,Zm00001d027892
336,Zm00001d027888,Zm00001d027895
337,Zm00001d027888,Zm00001d027901
338,Zm00001d027890,Zm00001d027892
339,Zm00001d022682,Zm00001d027934
340,Zm00001d027895,Zm00001d027922
341,Zm00001d027895,Zm00001d027934
342,Zm00001d027896,Zm00001d027968
343,Zm00001d027896,Zm00001d022694
344,Zm00001d027898,Zm00001d027907
345,Zm00001d027901,Zm00001d027934
346,Zm00001d027901,Zm00001d027988
347,Zm00001d027902,Zm00001d027929
348,Zm00001d027902,Zm00001d027943
349,Zm00001d027902,Zm00001d022694
350,Zm00001d027902,Zm00001d028159
351,Zm00001d027904,Zm00001d027907
352,Zm00001d022683,Zm00001d027916
353,Zm00001d022683,Zm00001d027918
354,Zm00001d027916,Zm00001d027918
355,Zm00001d027918,Zm00001d027921
356,Zm00001d027918,Zm00001d027934
357,Zm00001d027922,Zm00001d027934
358,Zm00001d027922,Zm00001d027929
359,Zm00001d027929,Zm00001d028073
360,Zm00001d027929,Zm00001d027934
361,Zm00001d027936,Zm00001d028054
362,Zm00001d027937,Zm00001d027988
363,Zm00001d027937,Zm00001d028073
364,Zm00001d027937,Zm00001d028183
365,Zm00001d027944,Zm00001d027988
366,Zm00001d027945,Zm00001d027950
368,Zm00001d027950,Zm00001d027968
369,ENSRNA049437658,Zm00001d027966
370,ENSRNA049437658,Zm00001d027962
371,Zm00001d027963,Zm00001d027966
372,Zm00001d027963,Zm00001d027969
373,Zm00001d027968,Zm00001d028034
374,Zm00001d027968,Zm00001d028191
375,Zm00001d027968,Zm00001d027969
376,Zm00001d027968,Zm00001d027971
377,Zm00001d027968,Zm00001d027988
378,Zm00001d027969,Zm00001d027971
379,Zm00001d027971,Zm00001d028006
380,Zm00001d027971,Zm00001d027973
381,Zm00001d027976,Zm00001d027988
382,Zm00001d027976,Zm00001d027978
383,Zm00001d027976,Zm00001d027982
384,Zm00001d027978,Zm00001d027979
385,Zm00001d027978,Zm00001d027982
386,Zm00001d027980,Zm00001d027982
387,Zm00001d027982,Zm00001d028012
388,Zm00001d027982,Zm00001d028159
389,Zm00001d027982,Zm00001d027990
390,Zm00001d027983,Zm00001d027987
391,Zm00001d027988,Zm00001d027990
392,Zm00001d027988,Zm00001d027991
393,Zm00001d027988,Zm00001d028012
394,Zm00001d027990,Zm00001d027991
395,Zm00001d027995,Zm00001d027997
396,Zm00001d027999,Zm00001d028001
397,Zm00001d028003,Zm00001d028005
398,Zm00001d028003,Zm00001d028007
399,Zm00001d028004,Zm00001d028010
400,Zm00001d028006,Zm00001d028010
401,Zm00001d028006,Zm00001d028007
402,Zm00001d028008,Zm00001d028010
403,Zm00001d028008,Zm00001d028009
404,Zm00001d028012,Zm00001d028075
405,Zm00001d028012,Zm00001d022694
406,Zm00001d028012,Zm00001d028022
407,Zm00001d028012,Zm00001d028073
408,Zm00001d028013,Zm00001d028230
409,Zm00001d028013,Zm00001d028016
