Annotation1,Annotation2,ChIN,ID
Zm00001d001896,Zm00001d001903,15,296
Zm00001d001895,Zm00001d001903,15,297
Zm00001d001894,Zm00001d001903,15,298
Zm00001d001897,Zm00001d001902,15,299
Zm00001d001898,Zm00001d001902,15,300
Zm00001d001899,Zm00001d001902,15,301
Zm00001d001900,Zm00001d001902,15,302
Zm00001d001897,Zm00001d001904,15,303
Zm00001d001898,Zm00001d001904,15,304
Zm00001d001899,Zm00001d001904,15,305
Zm00001d001900,Zm00001d001904,15,306
Zm00001d001897,Zm00001d001905,15,307
Zm00001d001898,Zm00001d001905,15,308
Zm00001d001899,Zm00001d001905,15,309
Zm00001d001900,Zm00001d001905,15,310
Zm00001d001897,Zm00001d001906,15,311
Zm00001d001898,Zm00001d001906,15,312
Zm00001d001899,Zm00001d001906,15,313
Zm00001d001900,Zm00001d001906,15,314
Zm00001d001897,Zm00001d001903,15,315
Zm00001d001898,Zm00001d001903,15,316
Zm00001d001899,Zm00001d001903,15,317
Zm00001d001900,Zm00001d001903,15,318
Zm00001d001901,Zm00001d001902,15,319
Zm00001d001901,Zm00001d001904,15,320
Zm00001d001901,Zm00001d001905,15,321
Zm00001d001901,Zm00001d001906,15,322
Zm00001d001901,Zm00001d001903,15,323
Zm00001d001897,Zm00001d001908,15,324
Zm00001d001898,Zm00001d001908,15,325
Zm00001d001899,Zm00001d001908,15,326
Zm00001d001900,Zm00001d001908,15,327
Zm00001d001897,Zm00001d001907,15,328
Zm00001d001898,Zm00001d001907,15,329
Zm00001d001899,Zm00001d001907,15,330
Zm00001d001900,Zm00001d001907,15,331
Zm00001d001902,Zm00001d001908,15,332
Zm00001d001904,Zm00001d001908,15,333
Zm00001d001905,Zm00001d001908,15,334
Zm00001d001906,Zm00001d001908,15,335
Zm00001d001903,Zm00001d001908,15,336
Zm00001d001902,Zm00001d001907,15,337
Zm00001d001904,Zm00001d001907,15,338
Zm00001d001905,Zm00001d001907,15,339
Zm00001d001906,Zm00001d001907,15,340
Zm00001d001903,Zm00001d001907,15,341
Zm00001d001908,Zm00001d001909,15,342
Zm00001d001907,Zm00001d001909,15,343
Zm00001d001908,Zm00001d001910,15,344
Zm00001d001907,Zm00001d001910,15,345
Zm00001d001908,Zm00001d001914,15,346
Zm00001d001907,Zm00001d001914,15,347
Zm00001d001908,Zm00001d001913,15,348
Zm00001d001907,Zm00001d001913,15,349
Zm00001d001909,Zm00001d001914,15,350
Zm00001d001910,Zm00001d001914,15,351
Zm00001d001909,Zm00001d001913,15,352
Zm00001d001910,Zm00001d001913,15,353
Zm00001d001914,Zm00001d001917,15,354
Zm00001d001913,Zm00001d001917,15,355
Zm00001d001924,Zm00001d001928,165,356
Zm00001d001924,Zm00001d001927,165,357
Zm00001d001924,Zm00001d001929,165,358
Zm00001d001926,Zm00001d001928,165,359
Zm00001d001926,Zm00001d001927,165,360
Zm00001d001926,Zm00001d001929,165,361
Zm00001d001928,Zm00001d001929,165,362
Zm00001d001927,Zm00001d001929,165,363
Zm00001d001929,Zm00001d001929,165,364
Zm00001d001928,Zm00001d001930,165,365
Zm00001d001927,Zm00001d001930,165,366
Zm00001d001929,Zm00001d001930,165,367
Zm00001d001931,Zm00001d001937,165,368
Zm00001d001933,Zm00001d001937,165,369
Zm00001d001934,Zm00001d001937,165,370
Zm00001d001935,Zm00001d001937,165,371
Zm00001d001932,Zm00001d001937,165,372
Zm00001d001931,Zm00001d001936,165,373
Zm00001d001933,Zm00001d001936,165,374
Zm00001d001934,Zm00001d001936,165,375
Zm00001d001935,Zm00001d001936,165,376
Zm00001d001932,Zm00001d001936,165,377
Zm00001d001937,Zm00001d001939,165,378
Zm00001d001936,Zm00001d001939,165,379
Zm00001d001937,Zm00001d001940,165,380
Zm00001d001936,Zm00001d001940,165,381
Zm00001d001937,Zm00001d001941,165,382
Zm00001d001936,Zm00001d001941,165,383
Zm00001d001937,Zm00001d001942,165,384
Zm00001d001936,Zm00001d001942,165,385
Zm00001d001939,Zm00001d001945,165,386
Zm00001d001940,Zm00001d001945,165,387
Zm00001d001941,Zm00001d001945,165,388
Zm00001d001942,Zm00001d001945,165,389
Zm00001d001943,Zm00001d001945,165,390
Zm00001d001944,Zm00001d001945,165,391
Zm00001d001945,Zm00001d001946,165,392
Zm00001d001945,Zm00001d001947,165,393
Zm00001d001946,Zm00001d001948,165,394
Zm00001d001947,Zm00001d001948,165,395
Zm00001d001946,Zm00001d001949,165,396
Zm00001d001947,Zm00001d001949,165,397
Zm00001d001946,Zm00001d001951,165,398
Zm00001d001947,Zm00001d001951,165,399
Zm00001d001946,Zm00001d001952,165,400
Zm00001d001947,Zm00001d001952,165,401
Zm00001d001948,Zm00001d001949,165,402
Zm00001d001948,Zm00001d001951,165,403
Zm00001d001948,Zm00001d001952,165,404
Zm00001d001949,Zm00001d001959,165,405
Zm00001d001951,Zm00001d001959,165,406
Zm00001d001952,Zm00001d001959,165,407
Zm00001d001953,Zm00001d001959,165,408
Zm00001d001953,Zm00001d001960,165,409
Zm00001d001953,Zm00001d001961,165,410
Zm00001d001959,Zm00001d001960,165,411
Zm00001d001959,Zm00001d001961,165,412
Zm00001d001960,Zm00001d001964,165,413
Zm00001d001961,Zm00001d001964,165,414
Zm00001d001960,Zm00001d001962,165,415
Zm00001d001961,Zm00001d001962,165,416
Zm00001d001960,Zm00001d001963,165,417
Zm00001d001961,Zm00001d001963,165,418
Zm00001d001960,Zm00001d001965,165,419
Zm00001d001961,Zm00001d001965,165,420
Zm00001d001964,Zm00001d001966,165,421
Zm00001d001962,Zm00001d001966,165,422
Zm00001d001963,Zm00001d001966,165,423
Zm00001d001965,Zm00001d001966,165,424
Zm00001d001964,Zm00001d001967,165,425
Zm00001d001962,Zm00001d001967,165,426
Zm00001d001963,Zm00001d001967,165,427
Zm00001d001965,Zm00001d001967,165,428
Zm00001d001966,Zm00001d001968,165,429
Zm00001d001967,Zm00001d001968,165,430
Zm00001d001970,Zm00001d001972,165,431
Zm00001d001971,Zm00001d001972,165,432
Zm00001d001968,Zm00001d001973,165,433
Zm00001d001970,Zm00001d001973,165,434
Zm00001d001971,Zm00001d001973,165,435
Zm00001d001973,Zm00001d001974,165,436
Zm00001d001974,Zm00001d001976,165,437
Zm00001d001973,Zm00001d001977,165,438
Zm00001d001973,Zm00001d001978,165,439
Zm00001d001974,Zm00001d001977,165,440
Zm00001d001974,Zm00001d001978,165,441
Zm00001d001976,Zm00001d001977,165,442
Zm00001d001976,Zm00001d001978,165,443
Zm00001d001977,Zm00001d001979,165,444
Zm00001d001978,Zm00001d001979,165,445
Zm00001d001979,Zm00001d001980,165,446
Zm00001d001979,Zm00001d001982,165,447
Zm00001d001980,Zm00001d001982,165,448
Zm00001d001977,Zm00001d001983,165,449
Zm00001d001978,Zm00001d001983,165,450
Zm00001d001977,Zm00001d001984,165,451
Zm00001d001978,Zm00001d001984,165,452
Zm00001d001980,Zm00001d001983,165,453
Zm00001d001980,Zm00001d001984,165,454
Zm00001d001982,Zm00001d001983,165,455
Zm00001d001982,Zm00001d001984,165,456
Zm00001d001983,Zm00001d001988,165,457
Zm00001d001984,Zm00001d001988,165,458
