ChIN,Annotation1,Annotation2,ID
51,Zm00001d012304,Zm00001d012321,47816
51,Zm00001d012304,Zm00001d012322,47817
51,Zm00001d012321,Zm00001d012325,47818
51,Zm00001d012322,Zm00001d012325,47819
51,Zm00001d012325,Zm00001d012325,47820
18,Zm00001d012415,Zm00001d012417,47865
18,Zm00001d012414,Zm00001d012417,47866
18,Zm00001d012415,Zm00001d012418,47867
18,Zm00001d012414,Zm00001d012418,47868
18,Zm00001d012415,Zm00001d012419,47869
18,Zm00001d012414,Zm00001d012419,47870
18,Zm00001d012415,Zm00001d012419,47871
18,Zm00001d012414,Zm00001d012419,47872
18,Zm00001d012415,Zm00001d012420,47873
18,Zm00001d012414,Zm00001d012420,47874
18,Zm00001d012417,Zm00001d012419,47875
18,Zm00001d012418,Zm00001d012419,47876
18,Zm00001d012419,Zm00001d012419,47877
18,Zm00001d012417,Zm00001d012420,47878
18,Zm00001d012418,Zm00001d012420,47879
18,Zm00001d012419,Zm00001d012420,47880
18,Zm00001d012419,Zm00001d012421,47881
18,Zm00001d012420,Zm00001d012421,47882
18,Zm00001d012415,Zm00001d012424,47883
18,Zm00001d012414,Zm00001d012424,47884
18,Zm00001d012415,Zm00001d012425,47885
18,Zm00001d012414,Zm00001d012425,47886
18,Zm00001d012415,Zm00001d012426,47887
18,Zm00001d012414,Zm00001d012426,47888
18,Zm00001d012415,Zm00001d012423,47889
18,Zm00001d012414,Zm00001d012423,47890
18,Zm00001d012415,Zm00001d012427,47891
18,Zm00001d012414,Zm00001d012427,47892
18,Zm00001d012417,Zm00001d012424,47893
18,Zm00001d012418,Zm00001d012424,47894
18,Zm00001d012419,Zm00001d012424,47895
18,Zm00001d012417,Zm00001d012425,47896
18,Zm00001d012418,Zm00001d012425,47897
18,Zm00001d012419,Zm00001d012425,47898
18,Zm00001d012417,Zm00001d012426,47899
18,Zm00001d012418,Zm00001d012426,47900
18,Zm00001d012419,Zm00001d012426,47901
18,Zm00001d012417,Zm00001d012423,47902
18,Zm00001d012418,Zm00001d012423,47903
18,Zm00001d012419,Zm00001d012423,47904
18,Zm00001d012417,Zm00001d012427,47905
18,Zm00001d012418,Zm00001d012427,47906
18,Zm00001d012419,Zm00001d012427,47907
18,Zm00001d012419,Zm00001d012424,47908
18,Zm00001d012420,Zm00001d012424,47909
18,Zm00001d012419,Zm00001d012425,47910
18,Zm00001d012420,Zm00001d012425,47911
18,Zm00001d012419,Zm00001d012426,47912
18,Zm00001d012420,Zm00001d012426,47913
18,Zm00001d012419,Zm00001d012423,47914
18,Zm00001d012420,Zm00001d012423,47915
18,Zm00001d012419,Zm00001d012427,47916
18,Zm00001d012420,Zm00001d012427,47917
18,Zm00001d012421,Zm00001d012424,47918
18,Zm00001d012421,Zm00001d012425,47919
18,Zm00001d012421,Zm00001d012426,47920
18,Zm00001d012421,Zm00001d012423,47921
18,Zm00001d012421,Zm00001d012427,47922
18,Zm00001d012424,Zm00001d012428,47923
18,Zm00001d012425,Zm00001d012428,47924
18,Zm00001d012426,Zm00001d012428,47925
18,Zm00001d012423,Zm00001d012428,47926
18,Zm00001d012427,Zm00001d012428,47927
18,Zm00001d012428,Zm00001d012429,47928
18,Zm00001d012428,Zm00001d012430,47929
18,Zm00001d012428,Zm00001d012429,47930
18,Zm00001d012428,Zm00001d012430,47931
18,Zm00001d012424,Zm00001d012431,47932
18,Zm00001d012425,Zm00001d012431,47933
18,Zm00001d012426,Zm00001d012431,47934
18,Zm00001d012423,Zm00001d012431,47935
18,Zm00001d012427,Zm00001d012431,47936
18,Zm00001d012431,Zm00001d012433,47937
18,Zm00001d012431,Zm00001d012432,47938
20,Zm00001d012435,Zm00001d012437,47939
20,Zm00001d012437,Zm00001d012438,47940
20,Zm00001d012438,Zm00001d012441,47941
20,Zm00001d012438,Zm00001d012443,47942
20,Zm00001d012438,Zm00001d012444,47943
20,Zm00001d012441,Zm00001d012443,47944
20,Zm00001d012441,Zm00001d012444,47945
20,Zm00001d012443,Zm00001d012445,47946
20,Zm00001d012444,Zm00001d012445,47947
20,Zm00001d012446,Zm00001d012447,47948
20,Zm00001d012446,Zm00001d012448,47949
20,Zm00001d012446,Zm00001d012447,47950
20,Zm00001d012446,Zm00001d012448,47951
20,Zm00001d012443,Zm00001d012449,47952
20,Zm00001d012444,Zm00001d012449,47953
20,Zm00001d012443,Zm00001d012450,47954
20,Zm00001d012444,Zm00001d012450,47955
20,Zm00001d012447,Zm00001d012449,47956
20,Zm00001d012448,Zm00001d012449,47957
20,Zm00001d012447,Zm00001d012450,47958
20,Zm00001d012448,Zm00001d012450,47959
20,Zm00001d012447,Zm00001d012451,47960
20,Zm00001d012448,Zm00001d012451,47961
20,Zm00001d012447,Zm00001d012452,47962
20,Zm00001d012448,Zm00001d012452,47963
20,Zm00001d012449,Zm00001d012451,47964
20,Zm00001d012450,Zm00001d012451,47965
20,Zm00001d012449,Zm00001d012452,47966
20,Zm00001d012450,Zm00001d012452,47967
20,Zm00001d012449,Zm00001d012452,47968
20,Zm00001d012450,Zm00001d012452,47969
20,Zm00001d012447,Zm00001d012456,47970
20,Zm00001d012448,Zm00001d012456,47971
20,Zm00001d012452,Zm00001d012456,47972
20,Zm00001d012452,Zm00001d012457,47973
20,Zm00001d012452,Zm00001d012458,47974
42,Zm00001d012459,Zm00001d012460,47975
42,Zm00001d012459,Zm00001d012463,47976
42,Zm00001d012459,Zm00001d012464,47977
42,Zm00001d012459,Zm00001d012465,47978
42,Zm00001d012460,Zm00001d012463,47979
42,Zm00001d012460,Zm00001d012464,47980
42,Zm00001d012460,Zm00001d012465,47981
42,Zm00001d012463,Zm00001d012466,47982
42,Zm00001d012464,Zm00001d012466,47983
42,Zm00001d012465,Zm00001d012466,47984
42,Zm00001d012463,Zm00001d012467,47985
42,Zm00001d012464,Zm00001d012467,47986
42,Zm00001d012465,Zm00001d012467,47987
42,Zm00001d012463,Zm00001d012468,47988
42,Zm00001d012464,Zm00001d012468,47989
42,Zm00001d012465,Zm00001d012468,47990
42,Zm00001d012463,Zm00001d012469,47991
42,Zm00001d012464,Zm00001d012469,47992
42,Zm00001d012465,Zm00001d012469,47993
42,Zm00001d012463,Zm00001d012472,47994
42,Zm00001d012464,Zm00001d012472,47995
42,Zm00001d012465,Zm00001d012472,47996
42,Zm00001d012463,Zm00001d012471,47997
